FEATURE,WEIGHT0
"('BEVN', 'MEDIAN_VALUE')",0.0005810844643927318
"('BEVN', 'MIN_VALUE')",0.0005952462414059732
"('BEVN', 'STD_VALUE')",0.0
"('BNP', 'MAX_VALUE')",0.0020843610649426123
"('BNP', 'MEAN_VALUE')",0.0015245818406330353
"('BNP', 'MEASURE_COUNTS')",0.00013605826546285378
"('BNP', 'MEDIAN_VALUE')",0.0008719925931403769
"('BNP', 'MIN_VALUE')",0.002033407714690689
"('BNP', 'STD_VALUE')",0.0006776804578174657
"('BUN', 'MAX_VALUE')",0.002789557621003207
"('BUN', 'MEAN_VALUE')",0.0011806901735577494
"('BUN', 'MEASURE_COUNTS')",0.0
"('BUN', 'MEDIAN_VALUE')",0.0019867712939668756
"('BUN', 'MIN_VALUE')",0.000579148062659452
"('BUN', 'STD_VALUE')",0.0011161367707091712
"('Baso', 'MAX_VALUE')",0.0
"('Baso', 'MEAN_VALUE')",0.0005814203951836481
"('Baso', 'MEASURE_COUNTS')",0.0
"('Baso', 'MEDIAN_VALUE')",0.0013640319422070927
"('Baso', 'MIN_VALUE')",0.0
"('Baso', 'STD_VALUE')",0.000696019368326862
"('BeGlg/', 'MAX_VALUE')",4.200656744381617e-06
"('BeGlg/', 'MEAN_VALUE')",0.0003419262035498187
"('BeGlg/', 'MEASURE_COUNTS')",0.0
"('BeGlg/', 'MEDIAN_VALUE')",0.0009699445411697045
"('BeGlg/', 'MIN_VALUE')",0.0003155738225237882
"('BeGlg/', 'STD_VALUE')",0.0
"('C3', 'MAX_VALUE')",0.00030271836410894416
"('C3', 'MEAN_VALUE')",6.414978761048911e-06
"('C3', 'MEASURE_COUNTS')",0.0
"('C3', 'MEDIAN_VALUE')",0.0
"('C3', 'MIN_VALUE')",0.0006178006691751424
"('C3', 'STD_VALUE')",0.00016281689568965537
"('C4Quan', 'MAX_VALUE')",0.000759410166334376
"('C4Quan', 'MEAN_VALUE')",0.0
"('C4Quan', 'MEASURE_COUNTS')",0.0
"('C4Quan', 'MEDIAN_VALUE')",0.0
"('C4Quan', 'MIN_VALUE')",0.0004948365413995149
"('C4Quan', 'STD_VALUE')",0.0
"('CBil', 'MAX_VALUE')",0.0
"('CBil', 'MEAN_VALUE')",0.0
"('CBil', 'MEASURE_COUNTS')",0.0001737931498955244
"('CBil', 'MEDIAN_VALUE')",0.0
"('CBil', 'MIN_VALUE')",0.0
"('CBil', 'STD_VALUE')",0.0
"('CHOL/HDL_RATIO', 'MAX_VALUE')",0.0009520409476852985
"('CHOL/HDL_RATIO', 'MEAN_VALUE')",0.0
